id,citation,design_setting,capability_test,pattern,status
I01,Akcapinar & Sidan (2024),Programming education; one-group repeated exam,Same exam without vs with AI plus erroneous-AI acceptance,Large assisted gain with substantial uptake of an incorrect AI answer,peer-reviewed
I02,Bastani et al. (2025),High-school mathematics; field experiment,Unassisted exam after AI-supported practice,Unrestricted AI raised practice performance but reduced unassisted exam performance; guardrails mitigated harm,peer-reviewed
I03,Fan et al. (2025),University argumentative writing; randomized experiment,Knowledge gain and transfer after writing support,ChatGPT improved essay score but not knowledge gain or transfer relative to alternatives,peer-reviewed
I04,Kestin et al. (2025),Undergraduate physics; randomized crossover,Post-test content mastery after lesson,Purpose-built AI tutor produced greater immediate learning gains in less time than active-learning classroom,peer-reviewed
I05,Barcaui (2025),Undergraduates; randomized controlled trial,Surprise knowledge-retention test at 45 days,ChatGPT study-aid group showed lower delayed retention than traditional study,peer-reviewed
I06,Sim et al. (2025),Korean EFL pragmatics; randomized experiment,Posttest and delayed posttest,Short-term and delayed advantages differed by assistance condition and speech act,peer-reviewed
I07,Luan et al. (2025),Undergraduate STEM; mixed-method experiment,Retention proxy and performance change after feedback,Human feedback showed smaller grade decline and higher retention proxy than ChatGPT feedback,peer-reviewed
I08,Urban et al. (2025),University academic writing; experimental comparison,Correct/incorrect information integration and metacognitive accuracy,AI increased integration of correct information but did not prevent incorporation of incorrect information,peer-reviewed
I09,Kalam et al. (2025),First-year medical students; randomized controlled trial,Same quiz retaken without resources at one week,Assisted quiz advantage did not translate into a clear one-week retention advantage,peer-reviewed
I10,Soyoof et al. (2026),Online L2 English; randomized mixed-method study,Immediate and delayed posttests,Teacher-delivered scaffolded feedback outperformed ChatGPT on immediate and delayed learning tests,peer-reviewed
I11,Cheng (2026),Tibetan college EFL writing; quasi-experiment,Delayed writing post-test,AI-supported advantages on several writing measures remained visible at delayed post-test,peer-reviewed
I12,Zhang et al. (2026),Undergraduate digital-image processing; randomized experiment,Retention and transfer tests,Retention comparable but ChatGPT group lower on transfer,peer-reviewed
I13,Sezgunsay et al. (2026),Undergraduate nursing; pilot randomized trial,Independent knowledge-retention test at six weeks,No immediate group difference; structured ChatGPT-integrated group had higher six-week retention,peer-reviewed
I14,Niu et al. (2026),Medical immunology; 12-week quasi-experiment,Delayed knowledge retention and clinical-decision outcomes,Structured GenAI model improved post outcomes and delayed core-concept retention,peer-reviewed
I15,Teng et al. (2026),Novice medical students; randomized trial,Diagnostic accuracy and confidence under misleading AI,Misleading AI reduced accuracy and confidence did not reliably calibrate to correctness,peer-reviewed
I16,Chen (2026),Chinese undergraduate academic writing; 8-week quasi-experiment,Supervised independent no-AI near-transfer writing task,Open AI produced strongest supported writing but bounded support outperformed it on independent higher-order outcomes,peer-reviewed
I17,Liu et al. (2026),Math reasoning and reading comprehension; randomized trials,Unassisted performance and persistence after assistance,AI improved short-term performance but reduced later unassisted performance and persistence,preprint
I18,Franco et al. (2026),University lab learning; preregistered randomized experiment,Exam without AI plus study behavior,Near-zero average learning effect with heterogeneity; delegative use associated with worse final-exam performance,working paper
I19,Contractor & Reyes (2026),Undergraduates learning unfamiliar topic; randomized experiment,Unaided knowledge tests and essays immediately and at one week,Positive unaided gains persisted one week especially for augmentation rather than automation use,working paper
I20,Stromberg et al. (2026),Chinese grades 7-12; long panel difference-in-differences,Closed-book monthly and high-stakes exams,Homework performance/time improved while closed-book exam performance declined especially for outsourcing-style users,working paper
I21,Wu et al. (2026),Logic-puzzle skill learning; controlled experiment,Post-AI unassisted performance and latent skill change,More AI requesting predicted worse post-removal performance; independent effort associated with greater skill gain,preprint
I22,Rismanchian et al. (2026),ALEKS mathematics; large quasi-experimental panel,Proctored retention items and proctored vs non-proctored contrast,Study time fell on AI-susceptible problems and proctored retention odds declined while non-proctored assessment moved oppositely,preprint
I23,Akgun & Toker (2026),Undergraduates; retention study,Posttest over seven-week retention period,Initial AI-supported pretesting gains did not guarantee durable learning; retrieval follow-up outperformed learner-directed AI study,conference
